Reviewer_Score,Review
1,upgraded suite amazing room 
0,staff attitude receptionist pleasant bar staff room maid awful location 
1,tile bathroom sure design dirty comfy bed loved view tower friendly staff 
1,lighting room wasnt great dark certain part hard see outside window assume air conditioning box fan kind constantly made loudest noise kept night staff extremely helpful lovely room clean everything needed would stay 
1,lighting corridor food variety comfortable bed 
1,nothing room lovely staff lovely always helpful location perfect 
1,mini bar item bit pricey room spacious clean whilst bed comfortable part hotel clean well decorated 
0,hygiene en one day offer roomservice next day staff 
1,nothing really little pricey min walk central station min tourist area red light great craft beer pub door called wilde man breakfast good freshly juiced orange juice international paper etc staff accomadating get box sent adance held quite 
1,friendly staff nice location good breakfast 
1,every thing perfect great hotel location room service staff helpfully especially reception trisia marta gerard special thanks 
0,ferneture location 
0,room general hotel decor little tired friend stayed floor kept music nightclub next door fantastic location get much better 
1,downside hotel location situated minute walk minute bus ride away comasina metro station end yellow line nearest shop also bus ride away unknown reason front left right hotel actually sharing ground two badly derelict old hotel kinda make remember seeing war torn sarajevo news sure completely stripped back concrete look like current plan demolish grumble barman drink pricey fault rather rude little disinterested serve u although clearly stood waiting went serve people walked bar second also rude several customer walked serve people whilst trying order food room big bed enormous cost two night absolute steal breakfast included although continental big selection food decor inside may everyone taste give name hotel room extremely modern bathroom large great quality second time hotel would say far best value money hotel city 
1,mattress uncomfortable friendly helpful staff 
0,lower good location bit expensive 
1,breakfast uninspiring quality rest hotel breakfast staff really ball comfortable bed ever courtyard garden beautiful drink 
0,lot expensive quoted booking com clean hotel nice decor 
1,car park expensive park car staff helpful loved hotel posh 
1,hotel rather old clean colleague mosquito room perfect location heart city duomo min walk breakfast standard clean large room 
1,club across street oonce oonce early morning hour realize got back room around midnight luckily open one night stay location hotel excellent close cafe breakfast la ramblas universitat metro station bus stop decent walking distance gothic quarter open air market sunotel central could anywhere city within minute staff friendly accommodating rooftop pool small pleasant 
1,basement room nr could hear elevator machinery time consider breakfast room located floor big traffic people onwards door room perfectly fitting made noise slamming time people would open close outer door breakfast ok depending time might need wait minute get seat lucky wait morning good location walking hyde park close bayswater queensway metro station confortable mattress room enormous fair enough people everything clean personnel friendly helpful 
1,ac control good warm reception helped get luggage smiling staff answered quiries 
0,bathroom cleaned stay 
1,didnt like toiletry gel shampoo conditioner etc thing id sometimes find good hostel thing think could much improved brilliant place base weekend amsterdam loved place bed comfortable monstrous thing didnt want leave hotel special mention little detail clincher freshly squeezed orange juice breakfast endless delicious high quality coffee 
1,convenient quiet 
1,checked room ready ready annoyed afternoon evening plan able shower change left leave bag concierge hotel clean modern great location minute walk tower hill tube station 
1,missed vegetable breakfast great location quiet close everything 
0,dirty room tired room outlook insulation kind awful duty manager quite helpful 
0,despite room paid full advance company credit card hotel still worried something know insisted person named credit card present even though already paid ridiculous one traveller paid breakfast sat breakfast told paid using hotel 
1,nothing staff helpful within couple kilometer old centre great 
1,room pedal bathroom bin light bathroom mirror work lid kettle would close fully air con noisy pillow bed comfortable room service fast extra charge food delicious large portion close dlr stop excel 
1,liked area much better centre amsterdam walk area museum quite close vondel park staff excellent 
1,nonething wrong dislike staff happy polite professional everything room clean bed comfortable 
1,nothing location excellent 
1,hotel comfortable plush staff accommodating friendly overall excellent stay 
1,room quite hot air con seem working great location friendly staff 
1,bedroom initially warm heat cold difficult control spacious clean twin room good breakfast attentive staff excellent location 
1,would preferred proper swimming pool swim lap great room bathroom capable efficient friendly staff 
0,free wifi air con working properly great location friendly staff 
1,girl desk could make effort speak normal pace receiving people instead speaking like machine gun foreign accent always easy follow location location location super clean nice room 
1,nothing really staff excellent friendly welcome nothing much trouble handy kitchenette room meeting basic need good location excellent hotel clean cut modern design 
1,nothing manger help u problem rent car sixt respond call one day argument repair car replecet finally repair car really good job jest help customer 
0,customer oriented bad service ordered room service bar called later say card pre authorized therefore prepare cash upon explaining one asked pre authorize card cash left replied come pay card hang needed pair scissors one reception bar would one lend emailed enquire whether could check earlier one ever reply back centrally located close metro affordable mayfair area bedsheets clean 
1,great sky lounge floor balcony room city view executive lounge access great breakfast great position closed ceentral station 
0,found blood stain bed duvet irresponsible management team house keeping ac working properly capped degree cannot go lower sweating night location far soho regent oxford nice room bed staff nice nice room service 
0,wifi slow partially working conditioner broken 
0,poor breakfast old hotel old furniture old style helpful staff free wifi good location 
1,amount money paid hotel breakfast included disappointing room clean comfy 
0,traditional british hotel loved modernised le satisfactory little character might well block service apartment rather hotel one nicest part london location great bar 
1,pillow bed comfortable staff friendly attentive perfect location food great 
1,chose executive room fairly expensive thought fab choice london room huge comfy bed two seater sofa separate chair plus television yeah great room 
1,hand basin room least user friendly aspect rather narrow leaky plug set right angle mirror delightful modern eccentric style get important thing right general industrial feel place give character even though stand beside vienna ring sound light proofing excellent although bit compromised air conditioning sound food excellent quality arrived fresh hot staff extremely helpful worked hard dealing customer need rapidly everything clean bed comfortable 
